ID,Label,ext,Nucleoplasm,Nuclear membrane,Nucleoli,Nucleoli fibrillar center,Nuclear speckles,Nuclear bodies,Endoplasmic reticulum,Golgi apparatus,Intermediate filaments,Actin filaments,Microtubules,Mitotic spindle,Centrosome,Plasma membrane,Mitochondria,Aggresome,Cytosol,Vesicles and punctate cytosolic patterns,Negative
00070df0-bbc3-11e8-b2bc-ac1f6b6435d0,[0],2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,[0],2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,[7],2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
00344514-bbc2-11e8-b2bb-ac1f6b6435d0,[14],2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,"[6, 2]",2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
003957a8-bbb7-11e8-b2ba-ac1f6b6435d0,[16],2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,[16],2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
004f8abc-bbb9-11e8-b2ba-ac1f6b6435d0,"[9, 0]",2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
00626a32-bbab-11e8-b2ba-ac1f6b6435d0,[14],2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0065e36c-bba4-11e8-b2b9-ac1f6b6435d0,"[2, 0]",2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0067c712-bba0-11e8-b2b9-ac1f6b6435d0,"[16, 0]",2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0,[0],2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0072d080-bbaf-11e8-b2ba-ac1f6b6435d0,[0],2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00884f46-bbc3-11e8-b2bc-ac1f6b6435d0,"[0, 13]",2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
00934176-bbaf-11e8-b2ba-ac1f6b6435d0,"[16, 13]",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0097150a-bbc1-11e8-b2bb-ac1f6b6435d0,"[14, 0]",2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
009d30e6-bbb4-11e8-b2ba-ac1f6b6435d0,"[0, 13]",2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
009e88e0-bbc5-11e8-b2bc-ac1f6b6435d0,[2],2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00ab10d6-bba4-11e8-b2b9-ac1f6b6435d0,"[13, 6]",2018,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
00ab56c8-bbad-11e8-b2ba-ac1f6b6435d0,"[7, 10, 0]",2018,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
00ad4b4c-bbc4-11e8-b2bc-ac1f6b6435d0,[13],2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
00ae0ea6-bb9c-11e8-b2b9-ac1f6b6435d0,[16],2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
00b5ec5e-bbb8-11e8-b2ba-ac1f6b6435d0,[12],2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00bd4376-bbbf-11e8-b2ba-ac1f6b6435d0,[7],2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
00c3f3fc-bbbe-11e8-b2ba-ac1f6b6435d0,"[9, 16]",2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
00c58890-bbbc-11e8-b2ba-ac1f6b6435d0,[16],2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
00c9616e-bba7-11e8-b2ba-ac1f6b6435d0,[3],2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00e96ea4-bbc1-11e8-b2bb-ac1f6b6435d0,[5],2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00fe597e-bbc9-11e8-b2bc-ac1f6b6435d0,[5],2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0104c4e0-bbb9-11e8-b2ba-ac1f6b6435d0,"[0, 13]",2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
010edd48-bbac-11e8-b2ba-ac1f6b6435d0,"[14, 2, 0]",2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
011361ce-bba7-11e8-b2ba-ac1f6b6435d0,[13],2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0142ac38-bbb9-11e8-b2ba-ac1f6b6435d0,[0],2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014927fe-bb9e-11e8-b2b9-ac1f6b6435d0,[7],2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0155043e-bbb7-11e8-b2ba-ac1f6b6435d0,"[0, 13]",2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
